ID,COUNTY_ID,COUNTY,TOTAL_POPULATION,PER_TOTAL_POPULATION,POPU_DENSITY,HH_MEDIAN_AGE,DI_RACE_WH,DI_RACE_AF,DI_RACE_AI_AN,DI_RACE_ASIAN,DI_RACE_NW,DI_RACE_SOM,DI_NOT_HISP,DI_PERC_NOT_HISP,WF_OCCUP_1,WF_OCCUP_2,WF_OCCUP_3,WF_OCCUP_4,WF_OCCUP_5,WF_IND_1,WF_IND_2,WF_IND_3,WF_IND_4,WF_IND_5,WF_IND_6,WF_IND_7,WF_IND_8,WF_IND_9,WF_IND_10,WF_IND_11,WF_IND_12,WF_IND_13,WF_CSW_1,WF_CSW_2,WF_CSW_3,WF_CSW_4,INC_MD_HOUSE,INC_PER_CAP,HH_UD_18,HH_OVR_65,HH_AVG_SIZE,WF_OVR_25,WF_PER_OVR_25,DI_BR_DF,DI_FB,DI_PER_FB,DI_FB_2010,DI_FB_EU,DI_FB_A,DI_FB_AF,DI_FB_OC,DI_FB_LA,DI_FB_NA,DI_NON_ENG,HH_OW_OC,HH_PER_OW_OC,INC_HM_VALUE
0500000US33011,33011,"Hillsborough County, New Hampshire",402776,402776,457.4,39.9,365766,8756,574,14096,93,4609,380070,86.8,87526,30847,53578,17748,23898,1282,14179,30878,6324,26449,9251,5208,15117,25902,47054,15834,8922,7197,82.5,11.5,5.9,0.1,70906,34767,46884,23.3,2.56,62701,22.7,190576,34970,8.7,3190,6975,11800,2548,90,9592,3965,48848,154236,92.5,103198
0500000US28049,28049,"Hinds County, Mississippi",246364,246364,282,33.6,68393,172637,369,1847,53,1376,242563,27,34268,22960,26376,8088,13873,802,5515,8071,2364,12113,5105,2560,5261,8612,29856,10867,5625,8814,70.2,24.2,5.6,0.1,38021,20897,26055,22.7,2.7,25398,16.5,40814,4782,1.9,744,332,1659,576,59,2051,105,7468,88321,85.1,52808
0500000US15003,15003,"Honolulu County, Hawaii",975690,975690,1586.7,37.2,209847,24169,1747,421212,91544,9197,888796,19.4,161732,95156,115403,40750,39283,3058,29783,14885,10862,53306,28000,7683,30292,44780,98881,64396,19833,46565,71.4,22.8,5.7,0.1,73581,30735,87168,31.9,3.03,141559,21.4,229114,189052,19.4,14233,7265,154355,1229,17400,6456,2347,251118,310141,91.3,170342
0500000US45051,45051,"Horry County, South Carolina",283280,283280,237.5,42.5,227453,38980,942,3321,190,7542,265890,77.1,34892,32862,35562,13271,9103,1187,10289,4772,2273,19460,3662,1995,8305,11371,22541,27975,6875,4985,81.9,12.6,5.4,0.1,42322,23693,26300,32.8,2.43,31061,15.4,151569,18941,6.7,1421,3612,3061,486,65,10583,1134,21321,115764,61.2,80172
0500000US01069,1069,"Houston County, Alabama",103079,103079,175.1,38.7,72001,26960,390,845,4,1021,99828,68,13424,8270,11933,4628,6181,535,2695,4272,1767,6135,3626,635,1934,3406,10239,4266,2604,2322,80.6,13.7,5.5,0.2,41077,23492,10888,27.8,2.59,9111,13.1,31595,2459,2.4,80,353,678,92,6,1274,56,4138,39464,86.1,25516
0500000US13153,13153,"Houston County, Georgia",145622,145622,372.5,34.6,90066,42491,269,3760,48,4641,136360,59.1,22475,10478,15109,7740,6842,506,3282,5764,907,7329,2453,615,3529,5132,12723,5582,2763,12059,64.1,31.4,4.4,0,55170,24613,17776,20.3,2.74,13538,14.5,53836,8556,5.9,461,1181,3056,308,0,3824,187,11776,52564,88.4,34668
0500000US24027,24027,"Howard County, Maryland",299269,299269,1144.9,38.6,181806,54106,580,46603,124,5605,280925,57.1,96754,17435,32118,7335,7100,523,7611,8399,4024,13659,5093,4121,11185,31417,37784,10095,7192,19639,71.8,23.3,4.8,0.1,110133,48243,40011,21.7,2.76,61974,30.9,116248,56506,18.9,3796,5069,34369,5852,130,10388,698,64314,107516,96,78764
0500000US34017,34017,"Hudson County, New Jersey",654878,654878,13731.4,34.5,361426,84186,2225,93189,270,93329,375166,29.6,128149,62413,76818,21188,43313,187,15871,24117,12878,33878,26110,10739,37874,50007,63656,30008,16009,10547,84.8,10.8,4.3,0.1,58973,32678,70119,20.7,2.63,106680,23.3,109239,273055,41.7,27487,23508,74343,17158,453,156572,1021,361620,246135,90.1,78706
0500000US06023,6023,"Humboldt County, California",134876,134876,37.7,37.4,110595,1755,7514,3057,422,4218,120936,76.3,19370,13644,13869,6730,5225,2495,4557,2987,1051,7563,2256,1021,2540,4894,14779,8005,3115,3575,64.7,21.4,13.7,0.3,42153,23516,12617,25.2,2.46,16786,18.5,33143,7810,5.8,458,1369,2019,92,105,3868,357,12931,53130,85.7,29121
0500000US34019,34019,"Hunterdon County, New Jersey",126746,126746,300,44.5,115618,3229,81,4448,226,1729,119533,87.3,32812,8199,15456,4370,3964,665,3662,8327,2158,7138,2100,2469,5635,9203,14263,3997,2652,2532,78.7,14.3,6.8,0.2,106519,50846,15021,27.3,2.59,25304,28.6,35359,10635,8.4,371,3865,3232,170,268,2721,379,12824,46951,94.6,39343
